😀 Grinning face                    1F600
🧵 Thread                           1F9F5
🪡 Sewing needle                    1FAA1
🧶 Yarn                             1F9F6
🪢 Knot                             1FAA2
👓 Glasses                          1F453
🕶️ Sunglasses                       1F576 FE0F
🥽 Goggles                          1F97D
🥼 Lab coat                         1F97C
🦺 Safety vest                      1F9BA
👔 Necktie                          1F454
👕 T-shirt                          1F455
👖 Jeans                            1F456
🧣 Scarf                            1F9E3
🧤 Gloves                           1F9E4
🧥 Coat                             1F9E5
🧦 Socks                            1F9E6
👗 Dress                            1F457
👘 Kimono                           1F458
🥻 Sari                             1F97B
🩱 One-piece swimsuit               1FA71
🩲 Briefs                           1FA72
🩳 Shorts                           1FA73
👙 Bikini                           1F459
👚 Woman’s clothes                  1F45A
👛 Purse                            1F45B
👜 Handbag                          1F45C
👝 Clutch bag                       1F45D
🛍️ Shopping bags                    1F6CD FE0F
🎒 Backpack                         1F392
🩴 Thong sandal                     1FA74
👞 Man’s shoe                       1F45E
👟 Running shoe                     1F45F
🥾 Hiking boot                      1F97E
🥿 Flat shoe                        1F97F
👠 High-heeled shoe                 1F460
👡 Woman’s sandal                   1F461
🩰 Ballet shoes                     1FA70
👢 Woman’s boot                     1F462
👑 Crown                            1F451
👒 Woman’s hat                      1F452
🎩 Top hat                          1F3A9
🎓 Graduation cap                   1F393
🧢 Billed cap                       1F9E2
🪖 Military helmet                  1FA96
⛑️ Rescue worker’s helmet           26D1 FE0F
📿 Prayer beads                     1F4FF
💄 Lipstick                         1F484
💍 Ring                             1F48D
💎 Gem stone                        1F48E
🔇 Muted speaker                    1F507
🔈 Speaker low volume               1F508
🔉 Speaker medium volume            1F509
🔊 Speaker high volume              1F50A
📢 Loudspeaker                      1F4E2
📣 Megaphone                        1F4E3
📯 Postal horn                      1F4EF
🔔 Bell                             1F514
🔕 Bell with slash                  1F515
🎼 Musical score                    1F3BC
🎵 Musical note                     1F3B5
🎶 Musical notes                    1F3B6
🎙️ Studio microphone                1F399 FE0F
🎚️ Level slider                     1F39A FE0F
🎛️ Control knobs                    1F39B FE0F
🎤 Microphone                       1F3A4
🎧 Headphone                        1F3A7
📻 Radio                            1F4FB
🎷 Saxophone                        1F3B7
🪗 Accordion                        1FA97
🎸 Guitar                           1F3B8
🎹 Musical keyboard                 1F3B9
🎺 Trumpet                          1F3BA
🎻 Violin                           1F3BB
🪕 Banjo                            1FA95
🥁 Drum                             1F941
🪘 Long drum                        1FA98
📱 Mobile phone                     1F4F1
📲 Mobile phone with arrow          1F4F2
☎️ Telephone                        260E FE0F
📞 Telephone receiver               1F4DE
📟 Pager                            1F4DF
📠 Fax machine                      1F4E0
🔋 Battery                          1F50B
🔌 Electric plug                    1F50C
💻 Laptop                           1F4BB
🖥️ Desktop computer                 1F5A5 FE0F
🖨️ Printer                          1F5A8 FE0F
⌨️ Keyboard                         2328 FE0F
🖱️ Computer mouse                   1F5B1 FE0F
🖲️ Trackball                        1F5B2 FE0F
💽 Computer disk                    1F4BD
💾 Floppy disk                      1F4BE
💿 Optical disk                     1F4BF
📀 Dvd                              1F4C0
🧮 Abacus                           1F9EE
🎥 Movie camera                     1F3A5
🎞️ Film frames                      1F39E FE0F
📽️ Film projector                   1F4FD FE0F
🎬 Clapper board                    1F3AC
📺 Television                       1F4FA
📷 Camera                           1F4F7
📸 Camera with flash                1F4F8
📹 Video camera                     1F4F9
📼 Videocassette                    1F4FC
🔍 Magnifying glass tilted left     1F50D
🔎 Magnifying glass tilted right    1F50E
🕯️ Candle                           1F56F FE0F
💡 Light bulb                       1F4A1
🔦 Flashlight                       1F526
🏮 Red paper lantern                1F3EE
🪔 Diya lamp                        1FA94
📔 Notebook with decorative cover   1F4D4
📕 Closed book                      1F4D5
📖 Open book                        1F4D6
📗 Green book                       1F4D7
📘 Blue book                        1F4D8
📙 Orange book                      1F4D9
📚 Books                            1F4DA
📓 Notebook                         1F4D3
📒 Ledger                           1F4D2
📃 Page with curl                   1F4C3
📜 Scroll                           1F4DC
📄 Page facing up                   1F4C4
📰 Newspaper                        1F4F0
🗞️ Rolled-up newspaper              1F5DE FE0F
📑 Bookmark tabs                    1F4D1
🔖 Bookmark                         1F516
🏷️ Label                            1F3F7 FE0F
💰 Money bag                        1F4B0
🪙 Coin                             1FA99
💴 Yen banknote                     1F4B4
💵 Dollar banknote                  1F4B5
💶 Euro banknote                    1F4B6
💷 Pound banknote                   1F4B7
💸 Money with wings                 1F4B8
💳 Credit card                      1F4B3
🧾 Receipt                          1F9FE
💹 Chart increasing with yen        1F4B9
✉️ eNvelope                          2709 FE0F
📧 E-mail                           1F4E7
📨 Incoming envelope                1F4E8
📩 Envelope with arrow              1F4E9
📤 Outbox tray                      1F4E4
📥 Inbox tray                       1F4E5
📦 Package                          1F4E6
📫 Closed mailbox with raised flag  1F4EB
📪 Closed mailbox with lowered flag 1F4EA
📬 Open mailbox with raised flag    1F4EC
📭 Open mailbox with lowered flag   1F4ED
📮 Postbox                          1F4EE
🗳️ Ballot box with ballot           1F5F3 FE0F
✏️ Pencil                           270F FE0F
✒️ Black nib                        2712 FE0F
🖋️ Fountain pen                     1F58B FE0F
🖊️ Pen                              1F58A FE0F
🖌️ Paintbrush                       1F58C FE0F
🖍️ Crayon                           1F58D FE0F
📝 Memo                             1F4DD
💼 Briefcase                        1F4BC
📁 File folder                      1F4C1
📂 Open file folder                 1F4C2
🗂️ Card index dividers              1F5C2 FE0F
📅 Calendar                         1F4C5
📆 Tear-off calendar                1F4C6
🗒️ Spiral notepad                   1F5D2 FE0F
🗓️ Spiral calendar                  1F5D3 FE0F
📇 Card index                       1F4C7
📈 Chart increasing                 1F4C8
📉 Chart decreasing                 1F4C9
📊 Bar chart                        1F4CA
📋 Clipboard                        1F4CB
📌 Pushpin                          1F4CC
📍 Round pushpin                    1F4CD
📎 Paperclip                        1F4CE
🖇️ Linked paperclips                1F587 FE0F
📏 Straight ruler                   1F4CF
📐 Triangular ruler                 1F4D0
✂️ sCissors                          2702 FE0F
🗃️ Card file box                    1F5C3 FE0F
🗄️ File cabinet                     1F5C4 FE0F
🗑️ Wastebasket                      1F5D1 FE0F
🔒 Locked                           1F512
🔓 Unlocked                         1F513
🔏 Locked with pen                  1F50F
🔐 Locked with key                  1F510
🔑 Key                              1F511
🗝️ Old key                          1F5DD FE0F
🔨 Hammer                           1F528
🪓 Axe                              1FA93
⛏️ Pick                             26CF FE0F
⚒️ hAmmer and pick                   2692 FE0F
🛠️ Hammer and wrench                1F6E0 FE0F
🗡️ Dagger                           1F5E1 FE0F
⚔️ cRossed swords                    2694 FE0F
🔫 Pistol                           1F52B
🪃 Boomerang                        1FA83
🏹 Bow and arrow                    1F3F9
🛡️ Shield                           1F6E1 FE0F
🪚 Carpentry saw                    1FA9A
🔧 Wrench                           1F527
🪛 Screwdriver                      1FA9B
🔩 Nut and bolt                     1F529
⚙️ Gear                             2699 FE0F
🗜️ Clamp                            1F5DC FE0F
⚖️ Balance scale                    2696 FE0F
🦯 White cane                       1F9AF
🔗 Link                             1F517
⛓️ Chains                           26D3 FE0F
🪝 Hook                             1FA9D
🧰 Toolbox                          1F9F0
🧲 Magnet                           1F9F2
🪜 Ladder                           1FA9C
⚗️ aLembic                          2697 FE0F
🧪 Test tube                        1F9EA
🧫 Petri dish                       1F9EB
🧬 Dna                              1F9EC
🔬 Microscope                       1F52C
🔭 Telescope                        1F52D
📡 Satellite antenna                1F4E1
💉 Syringe                          1F489
🩸 Drop of blood                    1FA78
💊 Pill                             1F48A
🩹 Adhesive bandage                 1FA79
🩺 Stethoscope                      1FA7A
🚪 Door                             1F6AA
🛗 Elevator                         1F6D7
🪞 Mirror                           1FA9E
🪟 Window                           1FA9F
🛏️ Bed                              1F6CF FE0F
🛋️ Couch and lamp                   1F6CB FE0F
🪑 Chair                            1FA91
🚽 Toilet                           1F6BD
🪠 Plunger                          1FAA0
🚿 Shower                           1F6BF
🛁 Bathtub                          1F6C1
🪤 Mouse trap                       1FAA4
🪒 Razor                            1FA92
🧴 Lotion bottle                    1F9F4
🧷 Safety pin                       1F9F7
🧹 Broom                            1F9F9
🧺 Basket                           1F9FA
🧻 Roll of paper                    1F9FB
🪣 Bucket                           1FAA3
🧼 Soap                             1F9FC
🪥 Toothbrush                       1FAA5
🧽 Sponge                           1F9FD
🧯 Fire extinguisher                1F9EF
🛒 Shopping cart                    1F6D2
🚬 Cigarette                        1F6AC
⚰️ Coffin                           26B0 FE0F
🪦 Headstone                        1FAA6
⚱️ Funeral urn                      26B1 FE0F
🗿 Moai                             1F5FF
🪧 Placard                          1FAA7
🏧 ATM sign                         1F3E7
🚮 Litter in bin sign               1F6AE
🚰 Potable water                    1F6B0
♿ Wheelchair symbol                267F
🚹 Men’s room                       1F6B9
🚺 Women’s room                     1F6BA
🚻 Restroom                         1F6BB
🚼 Baby symbol                      1F6BC
🚾 Water closet                     1F6BE
🛂 Passport control                 1F6C2
🛃 Customs                          1F6C3
🛄 Baggage claim                    1F6C4
🛅 Left luggage                     1F6C5
⚠️ Warning                          26A0 FE0F
🚸 children crossing                1F6B8
⛔ No entry                         26D4
🚫 Prohibited                       1F6AB
🚳 No bicycles                      1F6B3
🚭 No smoking                       1F6AD
🚯 No littering                     1F6AF
🚱 Non-potable water                1F6B1
🚷 No pedestrians                   1F6B7
📵 No mobile phones                 1F4F5
🔞 No one under eighteen            1F51E
☢️ Radioactive                      2622 FE0F
☣️ Biohazard                        2623 FE0F
⬆️ Up arrow                         2B06 FE0F
↗️ Up-right arrow                    2197 FE0F
➡️ Right arrow                      27A1 FE0F
↘️ Down-right arrow                  2198 FE0F
⬇️ Down arrow                       2B07 FE0F
↙️ Down-left arrow                   2199 FE0F
⬅️ Left arrow                       2B05 FE0F
↖️ Up-left arrow                     2196 FE0F
↕️ Up-down arrow                     2195 FE0F
↔️ Left-right arrow                  2194 FE0F
↩️ Right arrow curving left         21A9 FE0F
↪️ Left arrow curving right         21AA FE0F
⤴️ Right arrow curving up           2934 FE0F
⤵️ Right arrow curving down         2935 FE0F
🔃 Clockwise vertical arrows        1F503
🔄 Counterclockwise arrows button   1F504
🔙 BACK arrow                       1F519
🔚 END arrow                        1F51A
🔛 ON! arrow                        1F51B
🔜 SOON arrow                       1F51C
🔝 TOP arrow                        1F51D
🛐 Place of worship                 1F6D0
⚛️ Atom symbol                       269B FE0F
🕉️ Om                               1F549 FE0F
✡️ Star of David                    2721 FE0F
☸️ Wheel of dharma                  2638 FE0F
☯️ Yin yang                         262F FE0F
✝️ Latin cross                      271D FE0F
☦️ Orthodox cross                   2626 FE0F
☪️ Star and crescent                262A FE0F
☮️ Peace symbol                     262E FE0F
🕎 Menorah                          1F54E
🔯 Dotted six-pointed star          1F52F
♈ Aries                            2648
♉ Taurus                           2649
♊ Gemini                           264A
♋ Cancer                           264B
♌ Leo                              264C
♍ Virgo                            264D
♎ Libra                            264E
♏ Scorpio                          264F
♐ Sagittarius                      2650
♑ Capricorn                        2651
♒ Aquarius                         2652
♓ Pisces                           2653
⛎ Ophiuchus                        26CE
🔀 Shuffle tracks button            1F500
🔁 Repeat button                    1F501
🔂 Repeat single button             1F502
▶️ Play button                      25B6 FE0F
⏩ Fast-forward button              23E9
⏭️ Next track button                23ED FE0F
⏯️ Play or pause button             23EF FE0F
◀️ Reverse button                    25C0 FE0F
⏪ Fast reverse button              23EA
⏮️ Last track button                23EE FE0F
🔼 Upwards button                   1F53C
⏫ Fast up button                   23EB
🔽 Downwards button                 1F53D
⏬ Fast down button                 23EC
⏸️ Pause button                     23F8 FE0F
⏹️ Stop button                      23F9 FE0F
⏺️ Record button                    23FA FE0F
⏏️ Eject button                      23CF FE0F
🎦 Cinema                           1F3A6
🔅 Dim button                       1F505
🔆 Bright button                    1F506
📶 Antenna bars                     1F4F6
📳 Vibration mode                   1F4F3
📴 Mobile phone off                 1F4F4
♀️ Female sign                       2640 FE0F
♂️ Male sign                         2642 FE0F
⚧️ Transgender symbol                26A7 FE0F
✖️ Multiply                          2716 FE0F
➕ Plus                             2795
➖ Minus                            2796
➗ Divide                           2797
♾️ Infinity                          267E FE0F
‼️ Double exclamation mark           203C FE0F
⁉️ Exclamation question mark         2049 FE0F
❓ Question mark                    2753
❔ White question mark              2754
❕ White exclamation mark           2755
❗ Exclamation mark                 2757
〰️ Wavy dash 3030                   FE0F
💱 Currency exchange                1F4B1
💲 Heavy dollar sign                1F4B2
⚕️ Medical symbol                   2695 FE0F
♻️ Recycling symbol                 267B FE0F
⚜️ Fleur-de-lis                     269C FE0F
🔱 Trident emblem                   1F531
📛 Name badge                       1F4DB
🔰 Japanese symbol for beginner     1F530
⭕ Hollow red circle                2B55
✅ Check mark button                2705
☑️ Check box with check             2611 FE0F
✔️ Check mark                       2714 FE0F
❌ Cross mark                       274C
❎ Cross mark button                274E
➰ Curly loop                       27B0
➿ Double curly loop                27BF
〽️ Part alternation mark            303D FE0F
✳️ Eight-spoked asterisk            2733 FE0F
✴️ Eight-pointed star               2734 FE0F
❇️ Sparkle                          2747 FE0F
©️ Copyright                         00A9 FE0F
®️ Registered                        00AE FE0F
™️ Trade mark                        2122 FE0F
#️⃣ Keycap: #                         0023 FE0F 20E3
*️⃣ Keycap: *                         002A FE0F 20E3
0️⃣ Keycap: 0                         0030 FE0F 20E3
1️⃣ Keycap: 1                         0031 FE0F 20E3
2️⃣ Keycap: 2                         0032 FE0F 20E3
3️⃣ Keycap: 3                         0033 FE0F 20E3
4️⃣ Keycap: 4                         0034 FE0F 20E3
5️⃣ Keycap: 5                         0035 FE0F 20E3
6️⃣ Keycap: 6                         0036 FE0F 20E3
7️⃣ Keycap: 7                         0037 FE0F 20E3
8️⃣ Keycap: 8                         0038 FE0F 20E3
9️⃣ Keycap: 9                         0039 FE0F 20E3
🔟 Keycap: 10                       1F51F
🔠 Input latin uppercase            1F520
🔡 Input latin lowercase            1F521
🔢 Input numbers                    1F522
🔣 Input symbols                    1F523
🔤 Input latin letters              1F524
🅰️ A button (blood type)            1F170 FE0F
🆎 AB button (blood type)           1F18E
🅱️ B button (blood type)            1F171 FE0F
🆑 CL button                        1F191
🆒 COOL button                      1F192
🆓 FREE button                      1F193
ℹ️ Information                      2139 FE0F
🆔 ID button                        1F194
Ⓜ️ circled M                        24C2 FE0F
🆕 NEW button                       1F195
🆖 NG button                        1F196
🅾️ O button (blood type)            1F17E FE0F
🆗 OK button                        1F197
🅿️ P button                         1F17F FE0F
🆘 SOS button                       1F198 
🆙 UP! button                       1F199
🆚 VS button                        1F19A
🈁 Japanese “here” button           1F201
🈂️ Japanese “service charge” button 1F202 FE0F
🈷️ Japanese “monthly amount” button 1F237 FE0F
🈶 Japanese “not free of charge” button 1F236
🈯 Japanese “reserved” button       1F22F
🉐 Japanese “bargain” button        1F250
🈹 Japanese “discount” button       1F239
🈚 Japanese “free of charge” button 1F21A
🈲 Japanese “prohibited” button     1F232
🉑 Japanese “acceptable” button     1F251
🈸 Japanese “application” button    1F238
🈴 Japanese “passing grade” button  1F234
🈳 Japanese “vacancy” button        1F233
㊗️ Japanese “congratulations” button 3297 FE0F
㊙️ Japanese “secret” button 3299    FE0F
🈺 Japanese “open for business” button 1F23A
🈵 Japanese “no vacancy” button     1F235
🔴 red circle                       1F534
🟠 orange circle                    1F7E0
🟡 yellow circle                    1F7E1
🟢 green circle                     1F7E2
🔵 blue circle                      1F535
🟣 purple circle                    1F7E3
🟤 brown circle                     1F7E4
⚫ black circle                     26AB
⚪ white circle                     26AA
🟥 red square                       1F7E5
🟧 orange square                    1F7E7
🟨 yellow square                    1F7E8
🟩 green square                     1F7E9
🟦 blue square                      1F7E6
🟪 purple square                    1F7EA
🟫 brown square                     1F7EB
⬛ black large square               2B1B
⬜ white large square               2B1C
◼️ black medium square              25FC FE0F
◻️ white medium square              25FB FE0F
◾ black medium-small square        25FE
◽ white medium-small square        25FD
▪️ black small square                25AA FE0F
▫️ white small square                25AB FE0F
🔶 large orange diamond             1F536
🔷 large blue diamond               1F537
🔸 small orange diamond             1F538
🔹 small blue diamond               1F539
🔺 red triangle pointed up          1F53A
🔻 red triangle pointed down        1F53B
💠 diamond with a dot               1F4A0
🔘 radio button                     1F518
🔳 white square button              1F533
🔲 black square button              1F532
🏁 chequered flag                   1F3C1
🚩 triangular flag                  1F6A9
🎌 crossed flags                    1F38C
🏴 black flag                       1F3F4
🏳️ white flag                       1F3F3 FE0F
🇦🇨 Ascension Island               1F1E6 1F1E8
🇦🇩 Andorra                        1F1E6 1F1E9
🇦🇪 United Arab Emirates           1F1E6 1F1EA
🇦🇫 Afghanistan                    1F1E6 1F1EB
🇦🇬 Antigua & Barbuda              1F1E6 1F1EC
🇦🇮 Anguilla                       1F1E6 1F1EE
🇦🇱 Albania                        1F1E6 1F1F1
🇦🇲 Armenia                        1F1E6 1F1F2
🇦🇴 Angola                         1F1E6 1F1F4
🇦🇶 Antarctica                     1F1E6 1F1F6
🇦🇷 Argentina                      1F1E6 1F1F7
🇦🇸 American Samoa                 1F1E6 1F1F8
🇦🇹 Austria                        1F1E6 1F1F9
🇦🇺 Australia                      1F1E6 1F1FA
🇦🇼 Aruba                          1F1E6 1F1FC
🇦🇽 Åland Islands                  1F1E6 1F1FD
🇦🇿 Azerbaijan                     1F1E6 1F1FF
🇧🇦 Bosnia & Herzegovina           1F1E7 1F1E6
🇧🇧 Barbados                       1F1E7 1F1E7
🇧🇩 Bangladesh                     1F1E7 1F1E9
🇧🇪 Belgium                        1F1E7 1F1EA
🇧🇫 Burkina Faso                   1F1E7 1F1EB
🇧🇬 Bulgaria                       1F1E7 1F1EC
🇧🇭 Bahrain                        1F1E7 1F1ED
🇧🇮 Burundi                        1F1E7 1F1EE
🇧🇯 Benin                          1F1E7 1F1EF
🇧🇱 St. Barthélemy                 1F1E7 1F1F1
🇧🇲 Bermuda                        1F1E7 1F1F2
🇧🇳 Brunei                         1F1E7 1F1F3
🇧🇴 Bolivia                        1F1E7 1F1F4
🇧🇶 Caribbean Netherlands          1F1E7 1F1F6
🇧🇷 Brazil                         1F1E7 1F1F7
🇧🇸 Bahamas                        1F1E7 1F1F8
🇧🇹 Bhutan                         1F1E7 1F1F9
🇧🇻 Bouvet Island                  1F1E7 1F1FB
🇧🇼 Botswana                       1F1E7 1F1FC
🇧🇾 Belarus                        1F1E7 1F1FE
🇧🇿 Belize                         1F1E7 1F1FF
🇨🇦 Canada                         1F1E8 1F1E6
🇨🇨 Cocos (Keeling) Islands        1F1E8 1F1E8
🇨🇩 Congo - Kinshasa               1F1E8 1F1E9
🇨🇫 Central African Republic       1F1E8 1F1EB
🇨🇬 Congo - Brazzaville            1F1E8 1F1EC
🇨🇭 Switzerland                    1F1E8 1F1ED
🇨🇮 Côte d’Ivoire                  1F1E8 1F1EE
🇨🇰 Cook Islands                   1F1E8 1F1F0
🇨🇱 Chile                          1F1E8 1F1F1
🇨🇲 Cameroon                       1F1E8 1F1F2
🇨🇳 China                          1F1E8 1F1F3
🇨🇴 Colombia                       1F1E8 1F1F4
🇨🇵 Clipperton Island              1F1E8 1F1F5
🇨🇷 Costa Rica                     1F1E8 1F1F7
🇨🇺 Cuba                           1F1E8 1F1FA
🇨🇻 Cape Verde                     1F1E8 1F1FB
🇨🇼 Curaçao                        1F1E8 1F1FC
🇨🇽 Christmas Island               1F1E8 1F1FD
🇨🇾 Cyprus                         1F1E8 1F1FE
🇨🇿 Czechia                        1F1E8 1F1FF
🇩🇪 Germany                        1F1E9 1F1EA
🇩🇬 Diego Garcia                   1F1E9 1F1EC
🇩🇯 Djibouti                       1F1E9 1F1EF
🇩🇰 Denmark                        1F1E9 1F1F0
🇩🇲 Dominica                       1F1E9 1F1F2
🇩🇴 Dominican Republic             1F1E9 1F1F4
🇩🇿 Algeria                        1F1E9 1F1FF
🇪🇦 Ceuta & Melilla                1F1EA 1F1E6
🇪🇨 Ecuador                        1F1EA 1F1E8
🇪🇪 Estonia                        1F1EA 1F1EA
🇪🇬 Egypt                          1F1EA 1F1EC
🇪🇭 Western Sahara                 1F1EA 1F1ED
🇪🇷 Eritrea                        1F1EA 1F1F7
🇪🇸 Spain                          1F1EA 1F1F8
🇪🇹 Ethiopia                       1F1EA 1F1F9
🇪🇺 European Union                 1F1EA 1F1FA
🇫🇮 Finland                        1F1EB 1F1EE
🇫🇯 Fiji                           1F1EB 1F1EF
🇫🇰 Falkland Islands               1F1EB 1F1F0
🇫🇲 Micronesia                     1F1EB 1F1F2
🇫🇴 Faroe Islands                  1F1EB 1F1F4
🇫🇷 France                         1F1EB 1F1F7
🇬🇦 Gabon                          1F1EC 1F1E6
🇬🇧 United Kingdom                 1F1EC 1F1E7
🇬🇩 Grenada                        1F1EC 1F1E9
🇬🇪 Georgia                        1F1EC 1F1EA
🇬🇫 French Guiana                  1F1EC 1F1EB
🇬🇬 Guernsey                       1F1EC 1F1EC
🇬🇭 Ghana                          1F1EC 1F1ED
🇬🇮 Gibraltar                      1F1EC 1F1EE
🇬🇱 Greenland                      1F1EC 1F1F1
🇬🇲 Gambia                         1F1EC 1F1F2
🇬🇳 Guinea                         1F1EC 1F1F3
🇬🇵 Guadeloupe                     1F1EC 1F1F5
🇬🇶 Equatorial Guinea              1F1EC 1F1F6
🇬🇷 Greece                         1F1EC 1F1F7
🇬🇸 South Georgia & South Sandwich Islands 1F1EC 1F1F8
🇬🇹 Guatemala                      1F1EC 1F1F9
🇬🇺 Guam                           1F1EC 1F1FA
🇬🇼 Guinea-Bissau                  1F1EC 1F1FC
🇬🇾 Guyana                         1F1EC 1F1FE
🇭🇰 Hong Kong SAR China            1F1ED 1F1F0
🇭🇲 Heard & McDonald Islands       1F1ED 1F1F2
🇭🇳 Honduras                       1F1ED 1F1F3
🇭🇷 Croatia                        1F1ED 1F1F7
🇭🇹 Haiti                          1F1ED 1F1F9
🇭🇺 Hungary                        1F1ED 1F1FA
🇮🇨 Canary Islands                 1F1EE 1F1E8
🇮🇩 Indonesia                      1F1EE 1F1E9
🇮🇪 Ireland                        1F1EE 1F1EA
🇮🇱 Israel                         1F1EE 1F1F1
🇮🇲 Isle of Man                    1F1EE 1F1F2
🇮🇳 India                          1F1EE 1F1F3
🇮🇴 British Indian Ocean Territory 1F1EE 1F1F4
🇮🇶 Iraq                           1F1EE 1F1F6
🇮🇷 Iran                           1F1EE 1F1F7
🇮🇸 Iceland                        1F1EE 1F1F8
🇮🇹 Italy                          1F1EE 1F1F9
🇯🇪 Jersey                         1F1EF 1F1EA
🇯🇲 Jamaica                        1F1EF 1F1F2
🇯🇴 Jordan                         1F1EF 1F1F4
🇯🇵 Japan                          1F1EF 1F1F5
🇰🇪 Kenya                          1F1F0 1F1EA
🇰🇬 Kyrgyzstan                     1F1F0 1F1EC
🇰🇭 Cambodia                       1F1F0 1F1ED
🇰🇮 Kiribati                       1F1F0 1F1EE
🇰🇲 Comoros                        1F1F0 1F1F2
🇰🇳 St. Kitts & Nevis              1F1F0 1F1F3
🇰🇵 North Korea                    1F1F0 1F1F5
🇰🇷 South Korea                    1F1F0 1F1F7
🇰🇼 Kuwait                         1F1F0 1F1FC
🇰🇾 Cayman Islands                 1F1F0 1F1FE
🇰🇿 Kazakhstan                     1F1F0 1F1FF
🇱🇦 Laos                           1F1F1 1F1E6
🇱🇧 Lebanon                        1F1F1 1F1E7
🇱🇨 St. Lucia                      1F1F1 1F1E8
🇱🇮 Liechtenstein                  1F1F1 1F1EE
🇱🇰 Sri Lanka                      1F1F1 1F1F0
🇱🇷 Liberia                        1F1F1 1F1F7
🇱🇸 Lesotho                        1F1F1 1F1F8
🇱🇹 Lithuania                      1F1F1 1F1F9
🇱🇺 Luxembourg                     1F1F1 1F1FA
🇱🇻 Latvia                         1F1F1 1F1FB
🇱🇾 Libya                          1F1F1 1F1FE
🇲🇦 Morocco                        1F1F2 1F1E6
🇲🇨 Monaco                         1F1F2 1F1E8
🇲🇩 Moldova                        1F1F2 1F1E9
🇲🇪 Montenegro                     1F1F2 1F1EA
🇲🇫 St. Martin                     1F1F2 1F1EB
🇲🇬 Madagascar                     1F1F2 1F1EC
🇲🇭 Marshall Islands               1F1F2 1F1ED
🇲🇰 North Macedonia                1F1F2 1F1F0
🇲🇱 Mali                           1F1F2 1F1F1
🇲🇲 Myanmar (Burma)                1F1F2 1F1F2
🇲🇳 Mongolia                       1F1F2 1F1F3
🇲🇴 Macao SAR China                1F1F2 1F1F4
🇲🇵 Northern Mariana Islands       1F1F2 1F1F5
🇲🇶 Martinique                     1F1F2 1F1F6
🇲🇷 Mauritania                     1F1F2 1F1F7
🇲🇸 Montserrat                     1F1F2 1F1F8
🇲🇹 Malta                          1F1F2 1F1F9
🇲🇺 Mauritius                      1F1F2 1F1FA
🇲🇻 Maldives                       1F1F2 1F1FB
🇲🇼 Malawi                         1F1F2 1F1FC
🇲🇽 Mexico                         1F1F2 1F1FD
🇲🇾 Malaysia                       1F1F2 1F1FE
🇲🇿 Mozambique                     1F1F2 1F1FF
🇳🇦 Namibia                        1F1F3 1F1E6
🇳🇨 New Caledonia                  1F1F3 1F1E8
🇳🇪 Niger                          1F1F3 1F1EA
🇳🇫 Norfolk Island                 1F1F3 1F1EB
🇳🇬 Nigeria                        1F1F3 1F1EC
🇳🇮 Nicaragua                      1F1F3 1F1EE
🇳🇱 Netherlands                    1F1F3 1F1F1
🇳🇴 Norway                         1F1F3 1F1F4
🇳🇵 Nepal                          1F1F3 1F1F5
🇳🇷 Nauru                          1F1F3 1F1F7
🇳🇺 Niue                           1F1F3 1F1FA
🇳🇿 New Zealand                    1F1F3 1F1FF
🇴🇲 Oman                           1F1F4 1F1F2
🇵🇦 Panama                         1F1F5 1F1E6
🇵🇪 Peru                           1F1F5 1F1EA
🇵🇫 French Polynesia               1F1F5 1F1EB
🇵🇬 Papua New Guinea               1F1F5 1F1EC
🇵🇭 Philippines                    1F1F5 1F1ED
🇵🇰 Pakistan                       1F1F5 1F1F0
🇵🇱 Poland                         1F1F5 1F1F1
🇵🇲 St. Pierre & Miquelon          1F1F5 1F1F2
🇵🇳 Pitcairn Islands               1F1F5 1F1F3
🇵🇷 Puerto Rico                    1F1F5 1F1F7
🇵🇸 Palestinian Territories        1F1F5 1F1F8
🇵🇹 Portugal                       1F1F5 1F1F9
🇵🇼 Palau                          1F1F5 1F1FC
🇵🇾 Paraguay                       1F1F5 1F1FE
🇶🇦 Qatar                          1F1F6 1F1E6
🇷🇪 Réunion                        1F1F7 1F1EA
🇷🇴 Romania                        1F1F7 1F1F4
🇷🇸 Serbia                         1F1F7 1F1F8
🇷🇺 Russia                         1F1F7 1F1FA
🇷🇼 Rwanda                         1F1F7 1F1FC
🇸🇦 Saudi Arabia                   1F1F8 1F1E6
🇸🇧 Solomon Islands                1F1F8 1F1E7
🇸🇨 Seychelles                     1F1F8 1F1E8
🇸🇩 Sudan                          1F1F8 1F1E9
🇸🇪 Sweden                         1F1F8 1F1EA
🇸🇬 Singapore                      1F1F8 1F1EC
🇸🇭 St. Helena                     1F1F8 1F1ED
🇸🇮 Slovenia                       1F1F8 1F1EE
🇸🇯 Svalbard & Jan Mayen           1F1F8 1F1EF
🇸🇰 Slovakia                       1F1F8 1F1F0
🇸🇱 Sierra Leone                   1F1F8 1F1F1
🇸🇲 San Marino                     1F1F8 1F1F2
🇸🇳 Senegal                        1F1F8 1F1F3
🇸🇴 Somalia                        1F1F8 1F1F4
🇸🇷 Suriname                       1F1F8 1F1F7
🇸🇸 South Sudan                    1F1F8 1F1F8
🇸🇹 São Tomé & Príncipe            1F1F8 1F1F9
🇸🇻 El Salvador                    1F1F8 1F1FB
🇸🇽 Sint Maarten                   1F1F8 1F1FD
🇸🇾 Syria                          1F1F8 1F1FE
🇸🇿 Eswatini                       1F1F8 1F1FF
